Post-experiment Usabilità_with_SUS_score copia
ID;Trovo il sistema complicato da usare;Il sistema è facile da navigare ;Ho bisogno di un aiuto tecnico per utilizzare il sistema ;Il sistema è intuitivo ;Trovo che ci siano troppe incoerenze nel sistema;Il sistema è facile da usare ;Sono sicur/a di utilizzare il sistema ;Ho bisogno di imparare molte cose prima di utilizzare il sistema;Il sistema è molto ben progettato ;Mi sento frustato/frustata utilizzando il sistema ;Commento generale;
1;1;5;1;5;1;5;5;1;5;1;"Il sistema è molto intuitivo, semplice e non induce overload cognitivo: io utente vedo solo ciò che mi serve, non altri ""fronzoli"".";100
2;1;5;1;5;2;5;4;1;4;1;Potrebbe essere utile la possibilità di gestire di account utente, grazie ai quali ciascun docente inserisce i documenti di progettazione didattica dell'istituto (PTOF con curriculo verticale, programmazione dipartimentale, ...) e i profili delle classi/discipline che insegna per l'anno scolastico in corso.;92,5
3;1;5;1;5;2;5;5;1;4;1;Sono rimasto sorpreso da quanti prompt mi salva. Veramente sbalorditivo. In bocca al lupo per tutto;95
4;1;4;1;4;1;5;5;2;5;1;Il sistema è facile da utilizzare, e' intuitivo ed e' progettato in maniera tale da poter essere utilizzato anche da docenti non molto esperti con la tecnologia;92,5
5;2;4;1;4;1;4;4;1;3;1;;82,5
6;1;5;1;5;1;5;5;1;5;1;;100
7;1;4;1;4;1;5;5;1;5;1;"Il tool è molto intuitivo, dal punto di vista estetico l'unico suggerimento che posso dare evidenziare maggiormente le due schede principali, (non ricordo i nomi). 
Altro accorgimento potrebbe essere evitare di chiedere le ore per la materia sulla base dell'anno e indirizzo perchè sono previste da linee guide e dovrebbero essere standard. ";95
8;2;5;1;4;1;5;4;1;4;1;;90
9;2;4;1;4;3;4;3;1;4;1;L’esperienza complessiva è stata positiva. Lo strumento si è rivelato utile per velocizzare la creazione del materiale didattico e ha offerto spunti interessanti per rinnovare la pratica didattica. Alcune funzioni richiedono ancora un po’ di adattamento o miglioramento, ma nel complesso l’usabilità è buona e l’integrazione nel lavoro quotidiano risulta promettente.;77,5
10;1;5;1;5;1;5;5;1;5;1;Strumento semplice ed efficace, anche cambiando libro di riferimento ed inserendo peer review ;100
11;2;4;1;4;1;4;4;1;5;1;Mi piace molto il sistema, funziona bene;87,5
12;1;5;2;5;1;5;5;1;5;1;Il sistema è di facile utilizzazione, chiunque abbia un minimo di dimestichezza può tranquillamente utilizzarlo;97,5
13;1;5;1;4;1;4;4;2;4;1;Interfaccia pulita e sequenziale. Dopo una prima occhiata ci si orienta bene.;87,5
14;1;5;3;4;1;5;5;3;4;1;;85
15;1;5;1;2;1;5;4;1;3;1;;85
16;1;5;1;5;1;5;5;1;5;1;Il tool è molto intuitivo. Solo la parte di inserimento manuale delle ore per ogni materia andrebbe automatizzato (con la possibilità di modifica manuale) in quanto per un docente alle prime armi che non sa dove andare a cercare nelle linee guida le ore per ogni materia e indirizzo secondo me potrebbe essere difficile l'inserimento completamente manuale delle stesse.;100
17;1;4;3;4;2;4;5;2;4;1;Lo strumento è molto utile alla realizzazione di attività didattiche, migliorerei la parte d'interfaccia dell'applicazione per renderla leggermente più intuitiva, dal mio punto di vista sarebbe davvero utile se nella parte di esercitazione laboratoriale l'applicazione proponesse delle attività di laboratorio con una vera e propria consegna di un progetto da realizzare con tutti i dettagli del caso.;80
18;2;2;2;4;1;5;4;3;4;3;Ho trovato utile utilizzare  il Tool per la preparazione delle lezioni.;70
19;2;3;2;3;2;5;4;2;2;2;;67,5
20;3;4;2;3;2;3;4;2;3;1;"Migliorare l’indice
Per la leggibilità non si vede come si nasconde la finestra a sinistra, non è facilmente intuibile e rende poco leggibile il materiale che viene creato.";67,5
